keys,en,hu
DISPLAY & AUDIO,DISPLAY & AUDIO,KÉP ÉS HANG
GAMEPLAY & ACCESSIBILITY,GAMEPLAY & ACCESSIBILITY,JÁTÉKMENET ÉS KISEGÍTÉS
MIX & ACCESSIBILITY,MIX & ACCESSIBILITY,HANGKEVERÉS ÉS KISEGÍTÉS
MUSIC,MUSIC,ZENE
SFX,SFX,HANGEFFEKTEK
CAMERA SHAKE,CAMERA SHAKE,KAMERARÁZKÓDÁS
VFX INTENSITY,VFX INTENSITY,EFFEKTEK ERŐSSÉGE
STICK DEADZONE,STICK DEADZONE,KAR HOLTJÁTÉKA
CROSSHAIR SIZE,CROSSHAIR SIZE,CÉLKERESZT MÉRETE
HIT FLASH,HIT FLASH,TALÁLATI VILLANÁS
AIM ASSIST,AIM ASSIST,CÉLZÁSRÁSEGÍTÉS
DAMAGE NUMBERS,DAMAGE NUMBERS,SEBZÉSSZÁMOK
TUTORIALS,TUTORIALS,OKTATÓÜZENETEK
SHADERS,SHADERS,SHADEREK
MIMICHU_OPERATION_PROMPT,"MIMICHU

Pick what kind of monster you want to become. I cleaned both. Mostly.","MIMICHU

Válaszd ki, milyen szörnnyé akarsz válni. Mindkettőt megtisztítottam. Többnyire."
ONBOARDING_RUN_OBJECTIVE,"SURVIVE FOR 12 MINUTES
Collect biomass, refine your build, defeat the Warden.","ÉLJ TÚL 12 PERCIG
Gyűjts biomasszát, fejleszd a buildedet, és győzd le az Őrzőt."
ONBOARDING_SYSTEM_GUIDE,"MOVE  WASD / LEFT STICK    ATTACK  LMB / RIGHT STICK
DASH  SPACE / GAMEPAD A     PAUSE   ESC / START

Level-up offers always include an active Fleshdrive mutation.
Matching synergy tags strengthen a focused build.
Install organs on the matching anatomy slot in ORGAN SCREEN.","MOZGÁS  WASD / BAL KAR    TÁMADÁS  BAL EGÉRGOMB / JOBB KAR
DASH  SPACE / GAMEPAD A    SZÜNET  ESC / START

Szintlépéskor mindig kapsz az aktív Fleshdrive-hoz illő mutációt.
Az egyező szinergiacímkék erősítik a kiválasztott buildet.
A szerveket a SZERVKÉPERNYŐ megfelelő anatómiai helyére ültesd."
BURST / MOBILITY / CHAIN LIGHTNING,BURST / MOBILITY / CHAIN LIGHTNING,KITÖRŐ SEBZÉS / MOBILITÁS / LÁNCVILLÁM
BURN / AREA DENIAL / ATTRITION,BURN / AREA DENIAL / ATTRITION,ÉGÉS / TERÜLETLEZÁRÁS / FELŐRLÉS
CONTROL / POSITIONING / REVERSAL,CONTROL / POSITIONING / REVERSAL,KONTROLL / POZICIONÁLÁS / VISSZAFORDÍTÁS
CHAIN LIGHTNING / FAST COOLDOWNS / DASH IMPACTS,CHAIN LIGHTNING / FAST COOLDOWNS / DASH IMPACTS,LÁNCVILLÁM / GYORS ÚJRATÖLTÉS / DASH ÜTKÖZÉS
