keys,en,hu
RESOLUTION,RESOLUTION,FELBONTÁS
NATIVE,NATIVE,NATÍV
+1 starting attack damage per level.,+1 starting attack damage per level.,Szintenként +1 kezdő támadási sebzés.
+10 biomass pickup range per level.,+10 biomass pickup range per level.,Szintenként +10 biomassza-felvételi hatótáv.
+4 starting movement speed per level.,+4 starting movement speed per level.,Szintenként +4 kezdő mozgási sebesség.
+4% chain damage per level.,+4% chain damage per level.,Szintenként +4% láncsebzés.
+5 starting maximum health per level.,+5 starting maximum health per level.,Szintenként +5 kezdő maximális életerő.
+5% biomass gained per level.,+5% biomass gained per level.,Szintenként +5% megszerzett biomassza.
+60 movement acceleration per level.,+60 movement acceleration per level.,Szintenként +60 mozgási gyorsulás.
+8 base attack range per level.,+8 base attack range per level.,Szintenként +8 alap támadási hatótáv.
+8 manual and semi-auto targeting radius per level.,+8 manual and semi-auto targeting radius per level.,Szintenként +8 kézi és félautomata célzási sugár.
2% less biomass needed for level 2 per level.,2% less biomass needed for level 2 per level.,Szintenként 2%-kal kevesebb biomassza kell a 2. szinthez.
3% faster secondary weapons per level.,3% faster secondary weapons per level.,Szintenként 3%-kal gyorsabb másodlagos fegyverek.
3% faster starting attack rate per level.,3% faster starting attack rate per level.,Szintenként 3%-kal gyorsabb kezdő támadási sebesség.
4% shorter dash cooldown per level.,4% shorter dash cooldown per level.,Szintenként 4%-kal rövidebb dash újratöltés.
ADAPT  •  CONSUME  •  SURVIVE,ADAPT  •  CONSUME  •  SURVIVE,ALKALMAZKODJ  •  FOGYASSZ  •  ÉLJ TÚL
ARC HEART,ARC HEART,ÍVSZÍV
ARC SPEAR,ARC SPEAR,ÍVLÁNDZSA
ARENA SEALED // WARDEN PROTOCOL ACTIVE,ARENA SEALED // WARDEN PROTOCOL ACTIVE,ARÉNA LEZÁRVA // ŐRZŐPROTOKOLL AKTÍV
ASHEN ERUPTION,ASHEN ERUPTION,HAMUKITÖRÉS
BACK,BACK,VISSZA
BACK TO MAIN MENU  [ESC],BACK TO MAIN MENU  [ESC],VISSZA A FŐMENÜBE  [ESC]
BACK TO PAUSE,BACK TO PAUSE,VISSZA A SZÜNETHEZ
BASE FLAME ONLY,BASE FLAME ONLY,CSAK ALAP LÁNG
BASE KINETIC SHARD ONLY,BASE KINETIC SHARD ONLY,CSAK ALAP KINETIKUS SZILÁNK
BEGIN RUN,BEGIN RUN,RUN KEZDÉSE
BIOFABRICATION IN PROGRESS,BIOFABRICATION IN PROGRESS,BIOFABRIKÁCIÓ FOLYAMATBAN
BIOMASS RECEPTORS,BIOMASS RECEPTORS,BIOMASSZA RECEPTOROK
BIT REDUCER,BIT REDUCER,BITMÉLYSÉG-CSÖKKENTÉS
BLAZING STRIDE,BLAZING STRIDE,LÁNGOLÓ LÉPÉS
BLOOM,BLOOM,FÉNYUDVAR
BLUEPRINT NOT RECOVERED,BLUEPRINT NOT RECOVERED,TERVRAJZ NINCS MEG
BLUEPRINT RECOVERED,BLUEPRINT RECOVERED,TERVRAJZ MEGSZEREZVE
FLESHDRIVE RECOVERED,FLESHDRIVE RECOVERED,FLESHDRIVE MEGSZEREZVE
FLESHDRIVE ACQUIRED,FLESHDRIVE ACQUIRED,FLESHDRIVE MEGSZEREZVE
FLESHDRIVE EVOLVED,FLESHDRIVE EVOLVED,FLESHDRIVE FEJLŐDÖTT
BLUEPRINT RESTORED: %s,BLUEPRINT RESTORED: %s,TERVRAJZ HELYREÁLLÍTVA: %s
Burning enemies erupt on death, damaging everything around them.,Burning enemies erupt on death
CAUTERIZING BLOOD,CAUTERIZING BLOOD,KAUTERIZÁLÓ VÉR
CHOOSE A MUTATION,CHOOSE A MUTATION,VÁLASSZ MUTÁCIÓT
CHOOSE A MUTATION - LEVEL %d,CHOOSE A MUTATION - LEVEL %d,VÁLASSZ MUTÁCIÓT - %d. SZINT
CHROMATIC,CHROMATIC,SZÍNELTOLÓDÁS
CINDER VOLLEY,CINDER VOLLEY,PARÁZS-SOROZAT
COMBUSTION SAC,COMBUSTION SAC,ÉGÉSZACSKÓ
CONDUCTIVE NERVES,CONDUCTIVE NERVES,VEZETŐ IDEGEK
CONTINUE  >    [SPACE],CONTINUE  >    [SPACE],FOLYTATÁS  >    [SPACE]
CORE LV %d / %d,CORE LV %d / %d,MAG SZINT %d / %d
COST  %d IMPRINT FRAGMENTS,COST  %d IMPRINT FRAGMENTS,ÁR: %d LENYOMAT-TÖREDÉK
CRT FILTER,CRT FILTER,CRT SZŰRŐ
Creates a singularity that damages and pulls a dense crowd.,Creates a singularity that damages and pulls a dense crowd.,Szingularitást hoz létre
DASH METABOLISM,DASH METABOLISM,DASH ANYAGCSERE
DO YOU WANT TO REPLACE IT?,DO YOU WANT TO REPLACE IT?,LE AKAROD CSERÉLNI?
DRAG TO MOVE  •  MOUSE WHEEL TO ZOOM,DRAG TO MOVE  •  MOUSE WHEEL TO ZOOM,HÚZÁS: MOZGATÁS  •  EGÉRGÖRGŐ: ZOOM
EARLY GROWTH,EARLY GROWTH,KORAI NÖVEKEDÉS
EMPTY ORGAN SLOT,EMPTY ORGAN SLOT,ÜRES SZERVHELY
EMPTY SLOT,EMPTY SLOT,ÜRES HELY
ENGLISH,ENGLISH,ANGOL
FLASHPOINT NODES,FLASHPOINT NODES,GYULLADÁSPONT-CSOMÓK
FLESH TREE,FLESH TREE,HÚSFA
FLESHDRIVE,FLESHDRIVE,FLESHDRIVE
FLESHDRIVES,FLESHDRIVES,FLESHDRIVE-OK
FULLSCREEN,FULLSCREEN,TELJES KÉPERNYŐ
Fires conductive bone shards in a wide facing cone.,Fires conductive bone shards in a wide facing cone.,Vezető csontszilánkokat lő széles kúpban.
Fires embers at several targets. Each hit adds a burning stack.,Fires embers at several targets. Each hit adds a burning stack.,Parazsat lő több célpontra. Minden találat égés stacket ad.
GRAVITY WELL,GRAVITY WELL,GRAVITÁCIÓS KÚT
HARDENED HEART,HARDENED HEART,MEGERŐSÍTETT SZÍV
HIDE CONTROLS & SYSTEMS,HIDE CONTROLS & SYSTEMS,IRÁNYÍTÁS ELREJTÉSE
HP,HP,ÉLETERŐ
HUNTER SENSE,HUNTER SENSE,VADÁSZÖSZTÖN
IMPLANT %s [ENTER],IMPLANT %s [ENTER],%s BEÜLTETÉSE [ENTER]
IMPLANT ELECTRIC,IMPLANT ELECTRIC,ELEKTROMOS BEÜLTETÉSE
IMPLANT FIRE,IMPLANT FIRE,TŰZ BEÜLTETÉSE
IMPLANT TELEKINETIC,IMPLANT TELEKINETIC,TELEKINETIKUS BEÜLTETÉSE
INERTIAL LATTICE,INERTIAL LATTICE,INERCIARÁCS
INFERNO RING,INFERNO RING,INFERNÓGYŰRŰ
INSTANCE,INSTANCE,PÉLDÁNY
ION QUILL,ION QUILL,IONTÜSKE
